Date(D-M-Y),PROJECT,Decription,Type,Qty,Rate,Amount,Inventory,ACCOUNT HEAD,Memo / Note/ Comments,Vendor Name
31/10/2024,Kuddus Nur's Heaven,Rasel ,Debit,,,850000,,Apartment Sales,Provide 8 Lakh But ,
4/11/2024,Kuddus Nur's Heaven,Agreement with land owner Non Refandable,Credit,,,1000000,,Land Signing Money,,
4/11/2024,Kuddus Nur's Heaven,Agreement Bukhar,Credit,,,200000,,Agent - Bukhar Commission,,
4/11/2024,Kuddus Nur's Heaven,Registry Cost,Credit,,,220000,,Legal & Audit,,
1/4/2025,Kuddus Nur's Heaven,Bounday Cost + Gate,Credit,,,100000,,General Expense,,
21/04/2025,Kuddus Nur's Heaven,Non Refandable,Credit,,,500000,,Land Signing Money,,
8/5/2025,Kuddus Nur's Heaven,Esrat Jahan Booking 5-B,Debit,1,,1000000,,Apartment Sales,452,
10/5/2025,Kuddus Nur's Heaven,Electriciy Meter Purpose,Credit,,,10000,,"Utilities (Electricity, Internet)",,
13/05/2025,Kuddus Nur's Heaven,Extra Media Cost,Credit,,,500000,,"Utilities (Electricity, Internet)",,
13/05/2025,Kuddus Nur's Heaven,Wasa Bill Cost,Credit,2 Mounths,,2095,,"Utilities (Electricity, Internet)",,
13/05/2025,Kuddus Nur's Heaven,Payment for land Non Refandable,Credit,,,500000,,Land Signing Money,,
2/5/2025,Kuddus Nur's Heaven,Pipe Fitting Charges,Credit,,,16500,,General Expense,"RA Trading  - Didar 3225,3224",
25/05/2025,Kuddus Nur's Heaven,"Meter Cable 17 Goz 190 , waring cable 700",Credit,,,4210,,"Utilities (Electricity, Internet)",Madina Cable -1906,
16/05/2025,Kuddus Nur's Heaven,"bali, piket, concreat",Credit,,,1650,,Construction Labor,Md Liyakot Ali Constract and sons - 22923,
30/06/2025,Kuddus Nur's Heaven,"Electic Instument(all meterilas for board), and working (Bounder electric warring)",Credit,,,12500,,"Utilities (Electricity, Internet)",,
4/7/2025,Kuddus Nur's Heaven,"Rajmistrir - for cement -3000+ mujuri, (filing Related tank and daliai)",Credit,,,5150,,Construction Labor,,
11/7/2025,Kuddus Nur's Heaven,"for pilling works and Goods transfer received by bank account
",Credit,,,20000,,Piling Construction,Bank Transfer Brac Bank,
11/7/2025,Kuddus Nur's Heaven,"for pilling works and Goods transfer received from office on cash
",Credit,,,30000,,Piling Construction,Bank Transfer Brac Bank,
