Account Code,Account Name,Account Category,Ledger?,Normal Balance,Expense Type,Unit of Measure (UoM)
1000,ASSETS,Asset Parent,No,Debit,N/A,N/A
1100,Current Assets,Current Assets,No,Debit,N/A,N/A
1110,-- Cash & Bank Balances,Current Assets,No,Debit,N/A,N/A
1111,---- Petty Cash,Current Assets,Yes,Debit,N/A,N/A
1112,---- Bank Accounts,Current Assets,Yes,Debit,N/A,N/A
1120,-- Accounts Receivable (Clients),Current Assets,Yes,Debit,N/A,N/A
1130,-- Inventory & Work In Progress,Current Assets,No,Debit,N/A,N/A
1131,---- Land Purchase (For Dev),Current Assets,Yes,Debit,N/A,Katha / Acre
1132,---- Construction WIP,Current Assets,Yes,Debit,N/A,N/A
1140,-- Advances & Prepayments,Current Assets,No,Debit,N/A,N/A
1141,---- Land Signing Money (Advance to Landowner),Current Assets,Yes,Debit,N/A,N/A
1200,Fixed Assets,Fixed Assets,No,Debit,N/A,N/A
1210,-- Office Equipment & Computers,Fixed Assets,Yes,Debit,N/A,N/A
1220,-- Vehicles,Fixed Assets,Yes,Debit,N/A,N/A
2000,LIABILITIES,Liability Parent,No,Credit,N/A,N/A
2100,Current Liabilities,Current Liabilities,No,Credit,N/A,N/A
2110,-- Accounts Payable (Suppliers),Current Liabilities,Yes,Credit,N/A,N/A
2120,-- Advance Booking Money (From Clients),Current Liabilities,Yes,Credit,N/A,N/A
2200,Long-Term Liabilities,Long-term Liab.,No,Credit,N/A,N/A
2210,-- Bank Loan / Project Finance,Long-term Liab.,Yes,Credit,N/A,N/A
3000,EQUITY,Equity Parent,No,Credit,N/A,N/A
3100,Owner's Capital / Share Capital,Equity,Yes,Credit,N/A,N/A
3200,Retained Earnings,Equity,Yes,Credit,N/A,N/A
4000,REVENUE,Revenue Parent,No,Credit,N/A,N/A
4100,Property Sales,Revenue,No,Credit,N/A,N/A
4110,-- Apartment Sales,Revenue,Yes,Credit,N/A,Sq. Ft.
4120,-- Commercial Space Sales,Revenue,Yes,Credit,N/A,Sq. Ft.
4130,-- Parking Sales,Revenue,Yes,Credit,N/A,Units
4200,Other Operating Income,Revenue,No,Credit,N/A,N/A
4210,-- Service Charge Income,Revenue,Yes,Credit,N/A,N/A
5000,DIRECT COSTS (Cost of Sales),Expenses,No,Debit,Direct,N/A
5100,Material Purchases,Expenses,No,Debit,Direct,N/A
5110,-- Aggregate Purchase,Expenses,Yes,Debit,Direct,Cft / Ton
5120,-- Bricks Purchase,Expenses,Yes,Debit,Direct,Pcs
5130,-- Cement Purchase,Expenses,Yes,Debit,Direct,Bags
5140,-- Sand Purchase,Expenses,Yes,Debit,Direct,Cft
5150,-- Silicon Sand Purchase,Expenses,Yes,Debit,Direct,Cft
5160,-- Steel/Rod Purchase,Expenses,Yes,Debit,Direct,Ton / Kg
5170,-- Stone Purchase,Expenses,Yes,Debit,Direct,Cft
5180,-- General Construction Materials,Expenses,Yes,Debit,Direct,Lump Sum
5200,Labor & Contractor Costs,Expenses,No,Debit,Direct,N/A
5210,-- Construction Labor,Expenses,Yes,Debit,Direct,N/A
5220,-- Contractor Bill,Expenses,Yes,Debit,Direct,N/A
5230,-- Piling Construction,Expenses,Yes,Debit,Direct,Rft / Mtr
5300,Project Direct Expenses,Expenses,No,Debit,Direct,N/A
5310,-- Engineer/Consultant Fee,Expenses,Yes,Debit,Direct,N/A
5320,"-- Govt Approval Fee (CDA, Muni)",Expenses,Yes,Debit,Direct,N/A
5330,-- Transportation/Carrying Cost,Expenses,Yes,Debit,Direct,N/A
6000,OPERATING EXPENSES,Expenses,No,Debit,Indirect,N/A
6100,Payroll Expenses,Expenses,No,Debit,Indirect,N/A
6110,-- Salary,Expenses,Yes,Debit,Indirect,N/A
6120,-- Bonus,Expenses,Yes,Debit,Indirect,N/A
6130,-- Labour Payment (Office/Admin),Expenses,Yes,Debit,Indirect,N/A
6200,Office & Admin Expenses,Expenses,No,Debit,Indirect,N/A
6210,-- Office Rent,Expenses,Yes,Debit,Indirect,N/A
6220,"-- Utilities (Electricity, Web)",Expenses,Yes,Debit,Indirect,N/A
6230,-- General Expense,Expenses,Yes,Debit,Indirect,N/A
6240,-- Maintenance Fee,Expenses,Yes,Debit,Indirect,N/A
6250,-- Bank Charge,Expenses,Yes,Debit,Indirect,N/A
6300,Sales & Marketing,Expenses,No,Debit,Indirect,N/A
6310,-- Marketing & Promotion,Expenses,Yes,Debit,Indirect,N/A
6320,-- Agent - Bukhar Commission,Expenses,Yes,Debit,Indirect,N/A
6400,Legal & Professional,Expenses,No,Debit,Indirect,N/A
6410,-- Legal & Audit,Expenses,Yes,Debit,Indirect,N/A
6420,-- Registration/Documentation,Expenses,Yes,,,
